DateTime,Date,Close,Company
5/21/2024 15:00:00,5/21/2024,79.20,Al Rajhi Bank
5/22/2024 15:00:00,5/22/2024,80.20,Al Rajhi Bank
5/23/2024 15:00:00,5/23/2024,79.10,Al Rajhi Bank
5/26/2024 15:00:00,5/26/2024,78.00,Al Rajhi Bank
5/27/2024 15:00:00,5/27/2024,77.80,Al Rajhi Bank
5/28/2024 15:00:00,5/28/2024,77.60,Al Rajhi Bank
5/29/2024 15:00:00,5/29/2024,77.20,Al Rajhi Bank
5/30/2024 15:00:00,5/30/2024,76.10,Al Rajhi Bank
6/3/2024 15:00:00,6/3/2024,78.10,Al Rajhi Bank
6/4/2024 15:00:00,6/4/2024,77.70,Al Rajhi Bank
6/5/2024 15:00:00,6/5/2024,77.80,Al Rajhi Bank
6/6/2024 15:00:00,6/6/2024,78.90,Al Rajhi Bank
6/9/2024 15:00:00,6/9/2024,81.80,Al Rajhi Bank
6/10/2024 15:00:00,6/10/2024,80.90,Al Rajhi Bank
6/11/2024 15:00:00,6/11/2024,80.00,Al Rajhi Bank
6/12/2024 15:00:00,6/12/2024,79.80,Al Rajhi Bank
6/13/2024 15:00:00,6/13/2024,79.00,Al Rajhi Bank
6/23/2024 15:00:00,6/23/2024,81.00,Al Rajhi Bank
6/24/2024 15:00:00,6/24/2024,81.30,Al Rajhi Bank
6/25/2024 15:00:00,6/25/2024,82.00,Al Rajhi Bank
6/26/2024 15:00:00,6/26/2024,81.10,Al Rajhi Bank
6/27/2024 15:00:00,6/27/2024,81.50,Al Rajhi Bank
6/30/2024 15:00:00,6/30/2024,80.00,Al Rajhi Bank
7/1/2024 15:00:00,7/1/2024,80.00,Al Rajhi Bank
7/2/2024 15:00:00,7/2/2024,79.60,Al Rajhi Bank
7/3/2024 15:00:00,7/3/2024,79.10,Al Rajhi Bank
7/4/2024 15:00:00,7/4/2024,79.60,Al Rajhi Bank
7/7/2024 15:00:00,7/7/2024,79.50,Al Rajhi Bank
7/8/2024 15:00:00,7/8/2024,80.00,Al Rajhi Bank
7/9/2024 15:00:00,7/9/2024,80.80,Al Rajhi Bank
7/10/2024 15:00:00,7/10/2024,80.50,Al Rajhi Bank
7/11/2024 15:00:00,7/11/2024,80.50,Al Rajhi Bank
7/14/2024 15:00:00,7/14/2024,81.40,Al Rajhi Bank
7/15/2024 15:00:00,7/15/2024,82.80,Al Rajhi Bank
7/16/2024 15:00:00,7/16/2024,83.10,Al Rajhi Bank
7/17/2024 15:00:00,7/17/2024,83.30,Al Rajhi Bank
7/18/2024 15:00:00,7/18/2024,84.00,Al Rajhi Bank
7/21/2024 15:00:00,7/21/2024,84.60,Al Rajhi Bank
7/22/2024 15:00:00,7/22/2024,84.30,Al Rajhi Bank
7/23/2024 15:00:00,7/23/2024,83.70,Al Rajhi Bank
7/24/2024 15:00:00,7/24/2024,84.40,Al Rajhi Bank
7/25/2024 15:00:00,7/25/2024,83.50,Al Rajhi Bank
7/28/2024 15:00:00,7/28/2024,85.80,Al Rajhi Bank
7/29/2024 15:00:00,7/29/2024,85.10,Al Rajhi Bank
7/30/2024 15:00:00,7/30/2024,85.00,Al Rajhi Bank
7/31/2024 15:00:00,7/31/2024,85.60,Al Rajhi Bank
8/1/2024 15:00:00,8/1/2024,85.00,Al Rajhi Bank
8/4/2024 15:00:00,8/4/2024,82.70,Al Rajhi Bank
8/5/2024 15:00:00,8/5/2024,84.20,Al Rajhi Bank
8/6/2024 15:00:00,8/6/2024,85.00,Al Rajhi Bank
8/7/2024 15:00:00,8/7/2024,84.70,Al Rajhi Bank
8/8/2024 15:00:00,8/8/2024,85.80,Al Rajhi Bank
8/11/2024 15:00:00,8/11/2024,86.00,Al Rajhi Bank
8/12/2024 15:00:00,8/12/2024,85.50,Al Rajhi Bank
8/13/2024 15:00:00,8/13/2024,84.50,Al Rajhi Bank
8/14/2024 15:00:00,8/14/2024,84.00,Al Rajhi Bank
8/15/2024 15:00:00,8/15/2024,83.80,Al Rajhi Bank
8/18/2024 15:00:00,8/18/2024,83.20,Al Rajhi Bank
8/19/2024 15:00:00,8/19/2024,84.20,Al Rajhi Bank
8/20/2024 15:00:00,8/20/2024,86.50,Al Rajhi Bank
8/21/2024 15:00:00,8/21/2024,89.10,Al Rajhi Bank
8/22/2024 15:00:00,8/22/2024,88.90,Al Rajhi Bank
8/25/2024 15:00:00,8/25/2024,88.70,Al Rajhi Bank
8/26/2024 15:00:00,8/26/2024,88.60,Al Rajhi Bank
8/27/2024 15:00:00,8/27/2024,88.00,Al Rajhi Bank
8/28/2024 15:00:00,8/28/2024,86.70,Al Rajhi Bank
8/29/2024 15:00:00,8/29/2024,88.10,Al Rajhi Bank
9/1/2024 15:00:00,9/1/2024,88.80,Al Rajhi Bank
9/2/2024 15:00:00,9/2/2024,87.50,Al Rajhi Bank
9/3/2024 15:00:00,9/3/2024,88.50,Al Rajhi Bank
9/4/2024 15:00:00,9/4/2024,89.00,Al Rajhi Bank
9/5/2024 15:00:00,9/5/2024,88.70,Al Rajhi Bank
9/8/2024 15:00:00,9/8/2024,87.00,Al Rajhi Bank
9/9/2024 15:00:00,9/9/2024,87.90,Al Rajhi Bank
9/10/2024 15:00:00,9/10/2024,88.20,Al Rajhi Bank
9/11/2024 15:00:00,9/11/2024,87.00,Al Rajhi Bank
9/12/2024 15:00:00,9/12/2024,87.90,Al Rajhi Bank
9/15/2024 15:00:00,9/15/2024,88.90,Al Rajhi Bank
9/16/2024 15:00:00,9/16/2024,88.70,Al Rajhi Bank
9/17/2024 15:00:00,9/17/2024,87.80,Al Rajhi Bank
9/18/2024 15:00:00,9/18/2024,88.10,Al Rajhi Bank
9/19/2024 15:00:00,9/19/2024,89.90,Al Rajhi Bank
9/22/2024 15:00:00,9/22/2024,89.40,Al Rajhi Bank
9/24/2024 15:00:00,9/24/2024,89.90,Al Rajhi Bank
9/25/2024 15:00:00,9/25/2024,90.70,Al Rajhi Bank
9/26/2024 15:00:00,9/26/2024,89.60,Al Rajhi Bank
9/29/2024 15:00:00,9/29/2024,88.10,Al Rajhi Bank
9/30/2024 15:00:00,9/30/2024,87.20,Al Rajhi Bank
10/1/2024 15:00:00,10/1/2024,87.40,Al Rajhi Bank
10/2/2024 15:00:00,10/2/2024,84.90,Al Rajhi Bank
10/3/2024 15:00:00,10/3/2024,84.10,Al Rajhi Bank
10/6/2024 15:00:00,10/6/2024,80.10,Al Rajhi Bank
10/7/2024 15:00:00,10/7/2024,84.20,Al Rajhi Bank
10/8/2024 15:00:00,10/8/2024,85.70,Al Rajhi Bank
10/9/2024 15:00:00,10/9/2024,84.00,Al Rajhi Bank
10/10/2024 15:00:00,10/10/2024,85.40,Al Rajhi Bank
10/13/2024 15:00:00,10/13/2024,86.40,Al Rajhi Bank
10/14/2024 15:00:00,10/14/2024,85.00,Al Rajhi Bank
10/15/2024 15:00:00,10/15/2024,85.00,Al Rajhi Bank
10/16/2024 15:00:00,10/16/2024,84.90,Al Rajhi Bank
10/17/2024 15:00:00,10/17/2024,82.40,Al Rajhi Bank
10/20/2024 15:00:00,10/20/2024,82.70,Al Rajhi Bank
10/21/2024 15:00:00,10/21/2024,85.00,Al Rajhi Bank
10/22/2024 15:00:00,10/22/2024,85.80,Al Rajhi Bank
10/23/2024 15:00:00,10/23/2024,85.00,Al Rajhi Bank
10/24/2024 15:00:00,10/24/2024,84.90,Al Rajhi Bank
10/27/2024 15:00:00,10/27/2024,86.50,Al Rajhi Bank
10/28/2024 15:00:00,10/28/2024,87.00,Al Rajhi Bank
10/29/2024 15:00:00,10/29/2024,88.20,Al Rajhi Bank
10/30/2024 15:00:00,10/30/2024,88.30,Al Rajhi Bank
10/31/2024 15:00:00,10/31/2024,88.00,Al Rajhi Bank
11/3/2024 15:00:00,11/3/2024,88.00,Al Rajhi Bank
11/4/2024 15:00:00,11/4/2024,88.60,Al Rajhi Bank
11/5/2024 15:00:00,11/5/2024,88.90,Al Rajhi Bank
11/6/2024 15:00:00,11/6/2024,90.90,Al Rajhi Bank
11/7/2024 15:00:00,11/7/2024,92.70,Al Rajhi Bank
11/10/2024 15:00:00,11/10/2024,93.80,Al Rajhi Bank
11/11/2024 15:00:00,11/11/2024,94.40,Al Rajhi Bank
11/12/2024 15:00:00,11/12/2024,93.40,Al Rajhi Bank
11/13/2024 15:00:00,11/13/2024,91.60,Al Rajhi Bank
11/14/2024 15:00:00,11/14/2024,90.30,Al Rajhi Bank
11/17/2024 15:00:00,11/17/2024,89.30,Al Rajhi Bank
11/18/2024 15:00:00,11/18/2024,91.50,Al Rajhi Bank
11/19/2024 15:00:00,11/19/2024,93.30,Al Rajhi Bank
11/20/2024 15:00:00,11/20/2024,93.00,Al Rajhi Bank
11/21/2024 15:00:00,11/21/2024,93.50,Al Rajhi Bank
11/24/2024 15:00:00,11/24/2024,93.90,Al Rajhi Bank
11/25/2024 15:00:00,11/25/2024,92.60,Al Rajhi Bank
11/26/2024 15:00:00,11/26/2024,92.80,Al Rajhi Bank
11/27/2024 15:00:00,11/27/2024,91.00,Al Rajhi Bank
11/28/2024 15:00:00,11/28/2024,91.10,Al Rajhi Bank
12/1/2024 15:00:00,12/1/2024,92.80,Al Rajhi Bank
12/2/2024 15:00:00,12/2/2024,91.40,Al Rajhi Bank
12/3/2024 15:00:00,12/3/2024,90.70,Al Rajhi Bank
12/4/2024 15:00:00,12/4/2024,91.00,Al Rajhi Bank
12/5/2024 15:00:00,12/5/2024,91.30,Al Rajhi Bank
12/8/2024 15:00:00,12/8/2024,90.50,Al Rajhi Bank
12/9/2024 15:00:00,12/9/2024,94.20,Al Rajhi Bank
12/10/2024 15:00:00,12/10/2024,94.60,Al Rajhi Bank
12/11/2024 15:00:00,12/11/2024,94.20,Al Rajhi Bank
12/12/2024 15:00:00,12/12/2024,93.10,Al Rajhi Bank
12/15/2024 15:00:00,12/15/2024,92.80,Al Rajhi Bank
12/16/2024 15:00:00,12/16/2024,93.50,Al Rajhi Bank
12/17/2024 15:00:00,12/17/2024,92.30,Al Rajhi Bank
12/18/2024 15:00:00,12/18/2024,92.30,Al Rajhi Bank
12/19/2024 15:00:00,12/19/2024,89.90,Al Rajhi Bank
12/22/2024 15:00:00,12/22/2024,90.30,Al Rajhi Bank
12/23/2024 15:00:00,12/23/2024,92.80,Al Rajhi Bank
12/24/2024 15:00:00,12/24/2024,92.80,Al Rajhi Bank
12/25/2024 15:00:00,12/25/2024,92.20,Al Rajhi Bank
12/26/2024 15:00:00,12/26/2024,91.90,Al Rajhi Bank
12/29/2024 15:00:00,12/29/2024,92.00,Al Rajhi Bank
12/30/2024 15:00:00,12/30/2024,93.90,Al Rajhi Bank
12/31/2024 15:00:00,12/31/2024,94.60,Al Rajhi Bank
1/1/2025 15:00:00,1/1/2025,95.20,Al Rajhi Bank
1/2/2025 15:00:00,1/2/2025,98.50,Al Rajhi Bank
1/5/2025 15:00:00,1/5/2025,97.30,Al Rajhi Bank
1/6/2025 15:00:00,1/6/2025,97.60,Al Rajhi Bank
1/7/2025 15:00:00,1/7/2025,96.90,Al Rajhi Bank
1/8/2025 15:00:00,1/8/2025,95.80,Al Rajhi Bank
1/9/2025 15:00:00,1/9/2025,95.80,Al Rajhi Bank
1/12/2025 15:00:00,1/12/2025,95.80,Al Rajhi Bank
1/13/2025 15:00:00,1/13/2025,95.80,Al Rajhi Bank
1/14/2025 15:00:00,1/14/2025,96.00,Al Rajhi Bank
1/15/2025 15:00:00,1/15/2025,96.20,Al Rajhi Bank
1/16/2025 15:00:00,1/16/2025,96.70,Al Rajhi Bank
1/19/2025 15:00:00,1/19/2025,96.00,Al Rajhi Bank
1/20/2025 15:00:00,1/20/2025,95.90,Al Rajhi Bank
1/21/2025 15:00:00,1/21/2025,96.50,Al Rajhi Bank
1/22/2025 15:00:00,1/22/2025,97.10,Al Rajhi Bank
1/23/2025 15:00:00,1/23/2025,95.90,Al Rajhi Bank
1/26/2025 15:00:00,1/26/2025,96.00,Al Rajhi Bank
1/27/2025 15:00:00,1/27/2025,95.50,Al Rajhi Bank
1/28/2025 15:00:00,1/28/2025,95.90,Al Rajhi Bank
1/29/2025 15:00:00,1/29/2025,100.40,Al Rajhi Bank
1/30/2025 15:00:00,1/30/2025,99.00,Al Rajhi Bank
2/2/2025 15:00:00,2/2/2025,98.80,Al Rajhi Bank
2/3/2025 15:00:00,2/3/2025,100.20,Al Rajhi Bank
2/4/2025 15:00:00,2/4/2025,101.80,Al Rajhi Bank
2/5/2025 15:00:00,2/5/2025,101.20,Al Rajhi Bank
2/6/2025 15:00:00,2/6/2025,99.90,Al Rajhi Bank
2/9/2025 15:00:00,2/9/2025,101.20,Al Rajhi Bank
2/10/2025 15:00:00,2/10/2025,101.00,Al Rajhi Bank
2/11/2025 15:00:00,2/11/2025,99.50,Al Rajhi Bank
2/12/2025 15:00:00,2/12/2025,99.60,Al Rajhi Bank
2/13/2025 15:00:00,2/13/2025,99.50,Al Rajhi Bank
2/16/2025 15:00:00,2/16/2025,100.00,Al Rajhi Bank
2/17/2025 15:00:00,2/17/2025,99.00,Al Rajhi Bank
2/18/2025 15:00:00,2/18/2025,99.90,Al Rajhi Bank
2/19/2025 15:00:00,2/19/2025,100.20,Al Rajhi Bank
2/20/2025 15:00:00,2/20/2025,100.20,Al Rajhi Bank
2/24/2025 15:00:00,2/24/2025,99.70,Al Rajhi Bank
2/25/2025 15:00:00,2/25/2025,100.00,Al Rajhi Bank
2/26/2025 15:00:00,2/26/2025,100.80,Al Rajhi Bank
2/27/2025 15:00:00,2/27/2025,99.80,Al Rajhi Bank
3/2/2025 15:00:00,3/2/2025,99.40,Al Rajhi Bank
3/3/2025 15:00:00,3/3/2025,102.00,Al Rajhi Bank
3/4/2025 15:00:00,3/4/2025,100.60,Al Rajhi Bank
3/5/2025 15:00:00,3/5/2025,101.00,Al Rajhi Bank
3/6/2025 15:00:00,3/6/2025,101.40,Al Rajhi Bank
3/9/2025 15:00:00,3/9/2025,100.80,Al Rajhi Bank
3/10/2025 15:00:00,3/10/2025,101.80,Al Rajhi Bank
3/11/2025 15:00:00,3/11/2025,100.20,Al Rajhi Bank
3/12/2025 15:00:00,3/12/2025,100.60,Al Rajhi Bank
3/13/2025 15:00:00,3/13/2025,101.20,Al Rajhi Bank
3/16/2025 15:00:00,3/16/2025,101.80,Al Rajhi Bank
3/17/2025 15:00:00,3/17/2025,102.40,Al Rajhi Bank
3/18/2025 15:00:00,3/18/2025,101.80,Al Rajhi Bank
3/19/2025 15:00:00,3/19/2025,101.40,Al Rajhi Bank
3/20/2025 15:00:00,3/20/2025,100.80,Al Rajhi Bank
3/23/2025 15:00:00,3/23/2025,99.20,Al Rajhi Bank
3/24/2025 15:00:00,3/24/2025,100.60,Al Rajhi Bank
3/25/2025 15:00:00,3/25/2025,99.00,Al Rajhi Bank
3/26/2025 15:00:00,3/26/2025,102.00,Al Rajhi Bank
3/27/2025 15:00:00,3/27/2025,102.00,Al Rajhi Bank
4/3/2025 15:00:00,4/3/2025,100.60,Al Rajhi Bank
4/6/2025 15:00:00,4/6/2025,94.70,Al Rajhi Bank
4/7/2025 15:00:00,4/7/2025,94.50,Al Rajhi Bank
4/8/2025 15:00:00,4/8/2025,96.30,Al Rajhi Bank
4/9/2025 15:00:00,4/9/2025,94.60,Al Rajhi Bank
4/10/2025 15:00:00,4/10/2025,97.60,Al Rajhi Bank
4/13/2025 15:00:00,4/13/2025,98.00,Al Rajhi Bank
4/14/2025 15:00:00,4/14/2025,97.10,Al Rajhi Bank
4/15/2025 15:00:00,4/15/2025,97.60,Al Rajhi Bank
4/16/2025 15:00:00,4/16/2025,98.10,Al Rajhi Bank
4/17/2025 15:00:00,4/17/2025,97.60,Al Rajhi Bank
4/20/2025 15:00:00,4/20/2025,97.70,Al Rajhi Bank
4/21/2025 15:00:00,4/21/2025,97.60,Al Rajhi Bank
4/22/2025 15:00:00,4/22/2025,98.00,Al Rajhi Bank
4/23/2025 15:00:00,4/23/2025,97.40,Al Rajhi Bank
4/24/2025 15:00:00,4/24/2025,98.20,Al Rajhi Bank
4/27/2025 15:00:00,4/27/2025,98.20,Al Rajhi Bank
4/28/2025 15:00:00,4/28/2025,98.90,Al Rajhi Bank
4/29/2025 15:00:00,4/29/2025,98.70,Al Rajhi Bank
4/30/2025 15:00:00,4/30/2025,97.40,Al Rajhi Bank
5/1/2025 15:00:00,5/1/2025,96.50,Al Rajhi Bank
5/4/2025 15:00:00,5/4/2025,96.50,Al Rajhi Bank
5/5/2025 15:00:00,5/5/2025,95.60,Al Rajhi Bank
5/6/2025 15:00:00,5/6/2025,96.50,Al Rajhi Bank
5/7/2025 15:00:00,5/7/2025,95.50,Al Rajhi Bank
5/8/2025 15:00:00,5/8/2025,96.50,Al Rajhi Bank
5/11/2025 15:00:00,5/11/2025,96.00,Al Rajhi Bank
5/12/2025 15:00:00,5/12/2025,96.90,Al Rajhi Bank
5/13/2025 15:00:00,5/13/2025,98.10,Al Rajhi Bank
5/14/2025 15:00:00,5/14/2025,98.30,Al Rajhi Bank
5/15/2025 15:00:00,5/15/2025,97.80,Al Rajhi Bank
5/18/2025 15:00:00,5/18/2025,96.90,Al Rajhi Bank
5/19/2025 15:00:00,5/19/2025,97.00,Al Rajhi Bank
5/20/2025 15:00:00,5/20/2025,97.40,Al Rajhi Bank
5/21/2025 15:00:00,5/21/2025,96.00,Al Rajhi Bank
5/22/2025 15:00:00,5/22/2025,94.00,Al Rajhi Bank
5/25/2025 15:00:00,5/25/2025,92.10,Al Rajhi Bank
5/26/2025 15:00:00,5/26/2025,92.50,Al Rajhi Bank
5/27/2025 15:00:00,5/27/2025,91.00,Al Rajhi Bank
5/28/2025 15:00:00,5/28/2025,93.20,Al Rajhi Bank
5/29/2025 15:00:00,5/29/2025,91.10,Al Rajhi Bank
6/1/2025 15:00:00,6/1/2025,88.90,Al Rajhi Bank
6/2/2025 15:00:00,6/2/2025,90.40,Al Rajhi Bank
6/3/2025 15:00:00,6/3/2025,90.00,Al Rajhi Bank
6/4/2025 15:00:00,6/4/2025,93.30,Al Rajhi Bank
6/11/2025 15:00:00,6/11/2025,93.70,Al Rajhi Bank
6/12/2025 15:00:00,6/12/2025,92.60,Al Rajhi Bank
6/15/2025 15:00:00,6/15/2025,91.20,Al Rajhi Bank
6/16/2025 15:00:00,6/16/2025,92.60,Al Rajhi Bank
6/17/2025 15:00:00,6/17/2025,91.70,Al Rajhi Bank
6/18/2025 15:00:00,6/18/2025,91.50,Al Rajhi Bank
6/19/2025 15:00:00,6/19/2025,91.20,Al Rajhi Bank
6/22/2025 15:00:00,6/22/2025,90.10,Al Rajhi Bank
6/23/2025 15:00:00,6/23/2025,91.50,Al Rajhi Bank
6/24/2025 15:00:00,6/24/2025,94.10,Al Rajhi Bank
6/25/2025 15:00:00,6/25/2025,93.90,Al Rajhi Bank
6/26/2025 15:00:00,6/26/2025,94.70,Al Rajhi Bank
6/29/2025 15:00:00,6/29/2025,97.00,Al Rajhi Bank
6/30/2025 15:00:00,6/30/2025,94.60,Al Rajhi Bank
7/1/2025 15:00:00,7/1/2025,94.80,Al Rajhi Bank
7/2/2025 15:00:00,7/2/2025,94.65,Al Rajhi Bank
7/3/2025 15:00:00,7/3/2025,96.00,Al Rajhi Bank
7/6/2025 15:00:00,7/6/2025,96.20,Al Rajhi Bank
7/7/2025 15:00:00,7/7/2025,96.20,Al Rajhi Bank
7/8/2025 15:00:00,7/8/2025,96.00,Al Rajhi Bank
7/9/2025 15:00:00,7/9/2025,96.25,Al Rajhi Bank
7/10/2025 15:00:00,7/10/2025,95.80,Al Rajhi Bank
7/13/2025 15:00:00,7/13/2025,95.95,Al Rajhi Bank
7/14/2025 15:00:00,7/14/2025,96.10,Al Rajhi Bank
7/15/2025 15:00:00,7/15/2025,94.90,Al Rajhi Bank
7/16/2025 15:00:00,7/16/2025,94.50,Al Rajhi Bank
7/17/2025 15:00:00,7/17/2025,94.20,Al Rajhi Bank
7/20/2025 15:00:00,7/20/2025,94.50,Al Rajhi Bank
7/21/2025 15:00:00,7/21/2025,96.00,Al Rajhi Bank
7/22/2025 15:00:00,7/22/2025,95.00,Al Rajhi Bank
7/23/2025 15:00:00,7/23/2025,96.00,Al Rajhi Bank
7/24/2025 15:00:00,7/24/2025,95.30,Al Rajhi Bank
7/27/2025 15:00:00,7/27/2025,94.90,Al Rajhi Bank
7/28/2025 15:00:00,7/28/2025,94.15,Al Rajhi Bank
7/29/2025 15:00:00,7/29/2025,93.50,Al Rajhi Bank
7/30/2025 15:00:00,7/30/2025,94.50,Al Rajhi Bank
7/31/2025 15:00:00,7/31/2025,94.75,Al Rajhi Bank
8/3/2025 15:00:00,8/3/2025,94.50,Al Rajhi Bank
8/4/2025 15:00:00,8/4/2025,95.15,Al Rajhi Bank
8/5/2025 15:00:00,8/5/2025,95.70,Al Rajhi Bank
8/6/2025 15:00:00,8/6/2025,95.40,Al Rajhi Bank
8/7/2025 15:00:00,8/7/2025,95.25,Al Rajhi Bank
8/10/2025 15:00:00,8/10/2025,94.80,Al Rajhi Bank
8/11/2025 15:00:00,8/11/2025,94.20,Al Rajhi Bank
8/12/2025 15:00:00,8/12/2025,94.00,Al Rajhi Bank
8/13/2025 15:00:00,8/13/2025,93.20,Al Rajhi Bank
8/14/2025 15:00:00,8/14/2025,94.50,Al Rajhi Bank
8/17/2025 15:00:00,8/17/2025,94.90,Al Rajhi Bank
8/18/2025 15:00:00,8/18/2025,95.30,Al Rajhi Bank
8/19/2025 15:00:00,8/19/2025,95.25,Al Rajhi Bank
8/20/2025 15:00:00,8/20/2025,96.10,Al Rajhi Bank
